Dr Score,Place after Dr,XC Jump,XC Time,Total after XC,Place after XC,SJ Jump,SJ Time,Total after SJ,Final Place,Year,Division
32.5,12,0,0,32.5,8,0,0,32.5,8,2016,Y
32.8,13T,0,0,32.8,9,0,0,32.8,9,2016,Y
34,16T,0,0,34,10,0,0,34,10,2016,Y
34,16T,0,0,34,11,0,0,34,11,2016,Y
34.3,18,0,0,34.3,12,0,0,34.3,12,2016,Y
32.3,11,0,2,34.3,13,0,0,34.3,13,2016,Y
34.5,19,0,0,34.5,14,0,0,34.5,14,2016,Y
36.3,21,0,0,36.3,16,0,0,36.3,15,2016,Y
37.3,22,0,0,37.3,17,0,0,37.3,16,2016,Y
37.8,24,0,0,37.8,18,0,0,37.8,17,2016,Y
40.3,29,0,0,40.3,21,0,0,40.3,18,2016,Y
38,25,0,0,38,19,4,0,42,19,2016,Y
34.8,20,0,0,34.8,15,8,0,42.8,20,2016,Y
39.8,28,0,0,39.8,20,4,0,43.8,21,2016,Y
41.3,31,0,0,41.3,23,4,0,45.3,22,2016,Y
40.8,30,0,0,40.8,22,8,0,48.8,23,2016,Y
32.8,13T,20,0,52.8,24,0,0,52.8,24,2016,Y
37.5,23,20,6.4,63.9,25,0,5,68.9,25,2016,Y
39.3,27,0,32.8,72.1,27,0,0,72.1,26,2016,Y
30.5,8,40,0,70.5,26,4,0,74.5,27,2016,Y
26,1,E,---,---,E,---,---,---,E,2016,Y
30,6T,0,---,---,RF,---,---,---,RF,2016,Y
33.8,15,20,---,---,RF,---,---,---,RF,2016,Y
38.8,26,E,---,---,E,---,---,---,E,2016,Y
