Dr Score,Place after Dr,XC Jump,XC Time,Total after XC,Place after XC,SJ Jump,SJ Time,Total after SJ,Final Place,Year,Division
25.8,2T,0,0,25.8,2T,4,0,29.8,5,2017,H
22.3,1,0,0,22.3,1,8,0,30.3,6,2017,H
31.3,12T,0,0,31.3,11T,0,0,31.3,7,2017,H
28,6,0,0,28,6,4,0,32,8,2017,H
32.3,17T,0,0,32.3,14T,0,0,32.3,9,2017,H
32.3,17T,0,0,32.3,14T,0,0,32.3,10,2017,H
32.3,17T,0,0,32.3,14T,0,0,32.3,11,2017,H
28.5,7T,0,0,28.5,7T,4,0,32.5,12,2017,H
32.8,21,0,0,32.8,19,0,0,32.8,13,2017,H
32,15T,0,0,32,13,0,2,34,14,2017,H
31.3,12T,0,0,31.3,11T,0,3,34.3,15,2017,H
33,22,0,1.6,34.6,20,0,0,34.6,16,2017,H
35.8,26,0,0,35.8,22,0,0,35.8,17,2017,H
31,11,0,0,31,10,4,1,36,18,2017,H
28.5,7T,0,0,28.5,7T,8,0,36.5,19,2017,H
36.5,27,0,0,36.5,23,0,0,36.5,20,2017,H
32.5,20,0,0,32.5,17T,4,0,36.5,21,2017,H
35,25,0,0,35,21,4,0,39,22,2017,H
34.3,24,0,7.6,41.9,25,0,2,43.9,23,2017,H
38.5,28,0,0,38.5,24,8,0,46.5,24,2017,H
28.5,7T,20,0,48.5,26,0,0,48.5,25,2017,H
32,15T,20,4.4,56.4,27,0,0,56.4,26,2017,H
31.3,12T,0,1.2,32.5,17T,---,---,---,W,2017,H
33.8,23,40,---,---,R,---,---,---,R,2017,H
28.3,2,0,0,28.3,2,0,0,28.3,1,2016,H
30.5,4,0,0,30.5,4,0,0,30.5,2,2016,H
27.3,1,0,0,27.3,1,4,0,31.3,3,2016,H
32,7T,0,0,32,7,0,0,32,4,2016,H
32.3,9,0,0,32.3,8,0,0,32.3,5,2016,H
32.5,10T,0,0,32.5,10,0,0,32.5,6,2016,H
32.5,10T,0,0,32.5,11,0,0,32.5,7,2016,H
33.3,13T,0,0,33.3,13,0,0,33.3,8,2016,H
30,3,0,0,30,3,4,0,34,9,2016,H
32.5,10T,0,0,32.5,9,4,0,36.5,10,2016,H
36.5,24T,0,0,36.5,20,0,0,36.5,11,2016,H
36.8,27,0,0,36.8,23,0,0,36.8,12,2016,H
34.3,19T,0,0,34.3,16,4,0,38.3,13,2016,H
34.5,21,0,0,34.5,17,4,0,38.5,14,2016,H
31,5,0,0,31,5,8,0,39,15,2016,H
39.3,29,0,0,39.3,25,0,0,39.3,16,2016,H
31.8,6,0,0,31.8,6,8,0,39.8,17,2016,H
36,22T,0,0,36,18,4,0,40,18,2016,H
36,22T,0,0,36,19,4,0,40,19,2016,H
36.5,24T,0,0,36.5,21,4,0,40.5,20,2016,H
33.3,13T,0,0,33.3,12,8,0,41.3,21,2016,H
37.3,28,0,0,37.3,24,4,0,41.3,22,2016,H
34,16T,0,0,34,14,8,0,42,23,2016,H
42.3,31,0,0,42.3,27,0,0,42.3,24,2016,H
34.3,19T,0,0,34.3,15,8,0,42.3,25,2016,H
43.8,32,0,0,43.8,28,0,0,43.8,26,2016,H
36.5,24T,0,0,36.5,22,8,0,44.5,27,2016,H
42,30,0,0,42,26,4,0,46,28,2016,H
33.5,15,20,0,53.5,29,4,0,57.5,29,2016,H
34,16T,20,14,68,30,0,0,68,30,2016,H
32,7T,---,---,---,W,---,---,---,W,2016,H
34,16T,105,---,---,R,---,---,---,R,2016,H
24.3,1T,0,0,24.3,1T,0,0,24.3,1,2017,J
25.5,4,0,0,25.5,3,0,0,25.5,2,2017,J
25,3,0,1.2,26.2,4,0,0,26.2,3,2017,J
27.3,5,0,0,27.3,5,0,0,27.3,4,2017,J
27.5,6,0,0,27.5,6,0,0,27.5,5,2017,J
24.3,1T,0,0,24.3,1T,4,0,28.3,6,2017,J
30.5,8,0,0,30.5,8,0,0,30.5,7,2017,J
30.8,9,0,0,30.8,9,0,0,30.8,8,2017,J
31.5,10,0,0,31.5,10,0,0,31.5,9,2017,J
32.8,11,0,0,32.8,11,0,0,32.8,10,2017,J
33.8,14,0,0,33.8,14,0,0,33.8,11,2017,J
30.3,7,0,0,30.3,7,4,0,34.3,12,2017,J
35.8,16,0,0,35.8,15,0,0,35.8,13,2017,J
36.3,18T,0,0,36.3,16,0,0,36.3,14,2017,J
37.5,23T,0,0,37.5,19T,0,0,37.5,15,2017,J
33.5,13,0,0,33.5,13,4,0,37.5,16,2017,J
37.8,25,0,0,37.8,21,0,0,37.8,17,2017,J
37,21,0,0,37,17,0,1,38,18,2017,J
38,26,0,0,38,22,0,0,38,19,2017,J
36.8,20,0,1.6,38.4,24,0,0,38.4,20,2017,J
38.5,28T,0,0,38.5,25T,0,0,38.5,21,2017,J
38.5,28T,0,0,38.5,25T,0,0,38.5,22,2017,J
38.8,30T,0,0,38.8,27,0,0,38.8,23,2017,J
39.5,33,0,0,39.5,28,0,0,39.5,24,2017,J
39.8,34T,0,0,39.8,29,0,0,39.8,25,2017,J
40.3,37,0,0,40.3,30,0,0,40.3,26,2017,J
37.3,22,0,0,37.3,18,4,0,41.3,27,2017,J
41.5,38T,0,0,41.5,31,0,0,41.5,28,2017,J
38.3,27,0,0,38.3,23,4,0,42.3,29,2017,J
33.3,12,0,0,33.3,12,0,10,43.3,30,2017,J
37.5,23T,0,0,37.5,19T,8,0,45.5,31,2017,J
36.3,18T,0,5.6,41.9,32,4,0,45.9,32,2017,J
39,32,20,0,59,33,4,0,63,33,2017,J
41.8,40,20,0,61.8,34,4,0,65.8,34,2017,J
35,15,20,26.4,81.4,36,0,0,81.4,35,2017,J
41.5,38T,20,10.8,72.3,35,8,20,100.3,36,2017,J
36,17,E,---,---,E,---,---,---,E,2017,J
38.8,30T,0,---,---,RF,---,---,---,RF,2017,J
39.8,34T,20,---,---,RF,---,---,---,RF,2017,J
39.8,34T,60,---,---,RF,---,---,---,RF,2017,J
30.3,3T,0,0,30.3,2T,0,0,30.3,1,2018,J
30.3,3T,0,0,30.3,2T,0,0,30.3,2,2018,J
29.1,2,0,0,29.1,1,4,0,33.1,3,2018,J
35,8T,0,0,35,5,0,0,35,4,2018,J
35.3,10T,0,0,35.3,6T,0,0,35.3,5,2018,J
35.5,12T,0,0,35.5,8T,0,0,35.5,6,2018,J
36,16,0,0,36,10,0,0,36,7,2018,J
32.3,5,0,0,32.3,4,4,0,36.3,8,2018,J
36.3,17,0,0,36.3,11,0,0,36.3,9,2018,J
37,19,0,0,37,13,0,0,37,10,2018,J
38.8,25,0,0,38.8,16,0,0,38.8,11,2018,J
35.3,10T,0,0,35.3,6T,4,0,39.3,12,2018,J
35.5,12T,0,0,35.5,8T,4,0,39.5,13,2018,J
35.8,15,0,4,39.8,17,0,0,39.8,14,2018,J
36.8,18,0,0,36.8,12,4,0,40.8,15,2018,J
38.5,23T,0,2.4,40.9,19,0,0,40.9,16,2018,J
41,28,0,0,41,20,0,0,41,17,2018,J
41.5,29,0,0,41.5,21,0,0,41.5,18,2018,J
38.3,22,0,0,38.3,15,4,0,42.3,19,2018,J
40.3,27,0,2,42.3,22,0,0,42.3,20,2018,J
45,31,0,0,45,23,0,0,45,21,2018,J
38,21,0,0,38,14,8,0,46,22,2018,J
34.8,7,20,0,54.8,25,0,0,54.8,23,2018,J
35,8T,20,0,55,26,0,0,55,24,2018,J
34,6,20,0,54,24,4,0,58,25,2018,J
27.5,1,40,0,67.5,27,0,0,67.5,26,2018,J
38.5,23T,60,0,98.5,28,0,0,98.5,27,2018,J
37.5,20,0,2.4,39.9,18,0,---,---,E,2018,J
35.5,12T,20,---,---,RF,---,---,---,RF,2018,J
39.3,26,0,---,---,RF,---,---,---,RF,2018,J
43,30,---,---,---,W,---,---,---,W,2018,J
22.5,1,0,0,22.5,1,0,0,22.5,1,2016,J
26.5,2,0,0,26.5,2,0,0,26.5,2,2016,J
27.8,4,0,0,27.8,3,0,0,27.8,3,2016,J
28.8,6T,0,0,28.8,4,0,0,28.8,4,2016,J
28.8,6T,0,0,28.8,5,0,0,28.8,5,2016,J
28.5,5,0,1.2,29.7,6,0,0,29.7,6,2016,J
29,8,0,1.2,30.2,7,0,0,30.2,7,2016,J
30.5,10,0,0,30.5,8,0,0,30.5,8,2016,J
32.3,13T,0,0,32.3,9,0,0,32.3,9,2016,J
32.3,13T,0,0,32.3,10,0,0,32.3,10,2016,J
33.3,18,0,0,33.3,13,0,0,33.3,11,2016,J
33.5,19T,0,0,33.5,14,0,0,33.5,12,2016,J
34.3,22,0,0,34.3,15,0,0,34.3,13,2016,J
35,24T,0,0,35,16,0,0,35,14,2016,J
36.3,27T,0,0,36.3,19,0,0,36.3,15,2016,J
32.5,15,0,0,32.5,11,4,0,36.5,16,2016,J
32.8,16,0,0,32.8,12,4,0,36.8,17,2016,J
36.5,29,0,0.8,37.3,22,0,0,37.3,18,2016,J
37.8,33T,0,0,37.8,23,0,0,37.8,19,2016,J
37.8,33T,0,0,37.8,24,0,0,37.8,20,2016,J
37,30,0,0,37,20,0,1,38,21,2016,J
38,35,0,0.8,38.8,27,0,0,38.8,22,2016,J
36.3,27T,0,0,36.3,18,4,0,40.3,23,2016,J
40.5,39,0,0,40.5,28,0,0,40.5,24,2016,J
37.3,31T,0,0,37.3,21,4,0,41.3,25,2016,J
41.8,40,0,0,41.8,29,0,0,41.8,26,2016,J
38.3,36,0,0,38.3,25,4,0,42.3,27,2016,J
43.5,41,0,0,43.5,30,0,0,43.5,28,2016,J
38.8,38,0,0,38.8,26,8,0,46.8,29,2016,J
27.3,3,20,0,47.3,31,0,0,47.3,30,2016,J
35.8,26,0,0,35.8,17,16,0,51.8,31,2016,J
33,17,20,0,53,33,0,0,53,32,2016,J
31.8,12,20,2.4,54.2,34,0,0,54.2,33,2016,J
34.5,23,20,0,54.5,35,0,1,55.5,34,2016,J
38.5,37,20,7.2,65.7,37,4,0,69.7,35,2016,J
33.5,19T,20,4.4,57.9,36,4,10,71.9,36,2016,J
37.3,31T,60,0,97.3,38,0,0,97.3,37,2016,J
33.8,21,0,18.4,52.2,32,12,---,---,E,2016,J
29.8,9,E,---,---,E,---,---,---,E,2016,J
30.8,11,20,---,---,RF,---,---,---,RF,2016,J
35,24T,0,---,---,R,---,---,---,R,2016,J
23.3,1,0,0,23.3,1,0,0,23.3,1,2017,M
27.3,4T,0,0,27.3,3,0,0,27.3,2,2017,M
28,6T,0,0,28,4,0,0,28,3,2017,M
